Latitude[deg],Longitude[deg]
42.27915921248495578765869140625,-8.77758993767201900482177734375
42.27918134070932865142822265625,-8.77758943475782871246337890625
42.27920481003820896148681640625,-8.77758742310106754302978515625
42.27922710590064525604248046875,-8.7775868363678455352783203125
42.2792489826679229736328125,-8.77758708782494068145751953125
42.27927018888294696807861328125,-8.77758641727268695831298828125
42.2792924009263515472412109375,-8.777585327625274658203125
42.279315032064914703369140625,-8.7775841541588306427001953125
42.27933741174638271331787109375,-8.77758205868303775787353515625
42.2793616354465484619140625,-8.77757929265499114990234375
42.2793846018612384796142578125,-8.77757552079856395721435546875
42.27942961268126964569091796875,-8.77756982110440731048583984375
42.27942961268126964569091796875,-8.77756982110440731048583984375
42.27945073507726192474365234375,-8.77756630070507526397705078125
42.27947386913001537322998046875,-8.77756127156317234039306640625
42.27949867956340312957763671875,-8.77755540423095226287841796875
42.27952416054904460906982421875,-8.7775489501655101776123046875
42.2795475460588932037353515625,-8.77754350192844867706298828125
42.27957026101648807525634765625,-8.7775392271578311920166015625
42.2795924730598926544189453125,-8.7775352038443088531494140625
42.27961367927491664886474609375,-8.77753076143562793731689453125
42.27963614277541637420654296875,-8.777526654303073883056640625
42.27966003119945526123046875,-8.77752422355115413665771484375
42.27968375198543071746826171875,-8.777520954608917236328125
42.279706634581089019775390625,-8.777516596019268035888671875
42.279730103909969329833984375,-8.7775107286870479583740234375
42.2797532379627227783203125,-8.77750528044998645782470703125
42.2797751985490322113037109375,-8.77749958075582981109619140625
42.27979791350662708282470703125,-8.77749480307102203369140625
42.2798211313784122467041015625,-8.777489773929119110107421875
42.279845438897609710693359375,-8.77748432569205760955810546875
42.27987150661647319793701171875,-8.77747795544564723968505859375
42.27989799343049526214599609375,-8.77746890299022197723388671875
42.2799240611493587493896484375,-8.77745850943028926849365234375
42.2799488715827465057373046875,-8.7774493731558322906494140625
42.27997728623449802398681640625,-8.77744241617619991302490234375
42.2800028510391712188720703125,-8.77743445336818695068359375
42.28002891875803470611572265625,-8.77742766402661800384521484375
42.2800554893910884857177734375,-8.777416013181209564208984375
42.2800823114812374114990234375,-8.7774054519832134246826171875
42.2801098041236400604248046875,-8.7773947231471538543701171875
42.2801386378705501556396484375,-8.77738349139690399169921875
42.2801678068935871124267578125,-8.7773732654750347137451171875
42.28019739501178264617919921875,-8.7773640453815460205078125
42.28022773750126361846923828125,-8.777355663478374481201171875
42.28025757707655429840087890625,-8.77734669484198093414306640625
42.280285321176052093505859375,-8.77733915112912654876708984375
42.280312143266201019287109375,-8.77733051776885986328125
42.2803394682705402374267578125,-8.77732221968472003936767578125
42.28036679327487945556640625,-8.7773144245147705078125
42.2803907655179500579833984375,-8.77730838954448699951171875
42.28041582740843296051025390625,-8.77730302512645721435546875
42.28044248186051845550537109375,-8.77729942090809345245361328125
42.28046737611293792724609375,-8.77730193547904491424560546875
42.280490510165691375732421875,-8.7773028574883937835693359375
42.28051423095166683197021484375,-8.7773028574883937835693359375
42.2805345989763736724853515625,-8.77730461768805980682373046875
42.280556894838809967041015625,-8.77730662934482097625732421875
42.28058313019573688507080078125,-8.77730662934482097625732421875
42.2806142270565032958984375,-8.7773068808019161224365234375
42.28064649738371372222900390625,-8.77730570733547210693359375
42.28068170137703418731689453125,-8.77730025909841060638427734375
42.28071372024714946746826171875,-8.77729170955717563629150390625
42.28074766695499420166015625,-8.77727486193180084228515625
42.2807823680341243743896484375,-8.77725197933614253997802734375
42.2808118723332881927490234375,-8.7772264145314693450927734375
42.28084028698503971099853515625,-8.7771965749561786651611328125
42.280865013599395751953125,-8.77716782502830028533935546875
42.280887477099895477294921875,-8.7771375663578510284423828125
42.28090725839138031005859375,-8.77710588276386260986328125
42.28092259727418422698974609375,-8.77707025967538356781005859375
42.2809365950524806976318359375,-8.77703212201595306396484375
42.2809468209743499755859375,-8.7769920565187931060791015625
42.280955873429775238037109375,-8.7769531644880771636962890625
42.28096350096166133880615234375,-8.7769129313528537750244140625
42.2809738107025623321533203125,-8.77687521278858184814453125
42.280988730490207672119140625,-8.77684109844267368316650390625
42.2810083441436290740966796875,-8.776812851428985595703125
42.28103122673928737640380859375,-8.77679097466170787811279296875
42.28105838410556316375732421875,-8.7767774797976016998291015625
42.28108688257634639739990234375,-8.77677437849342823028564453125
42.28111487813293933868408203125,-8.77677923999726772308349609375
42.28114329278469085693359375,-8.77679474651813507080078125
42.281171120703220367431640625,-8.7768168747425079345703125
42.28120028972625732421875,-8.77684327773749828338623046875
42.281228788197040557861328125,-8.77687194384634494781494140625
42.28125653229653835296630859375,-8.7769005261361598968505859375
42.2812822647392749786376953125,-8.776930533349514007568359375
42.2813074104487895965576171875,-8.7769615463912487030029296875
42.28133347816765308380126953125,-8.77699381671845912933349609375
42.28135879151523113250732421875,-8.7770249135792255401611328125
42.28138469159603118896484375,-8.77705684863030910491943359375
42.281411848962306976318359375,-8.77708786167204380035400390625
42.28143976069986820220947265625,-8.77711786888539791107177734375
42.281466834247112274169921875,-8.7771472893655300140380859375
42.2814944945275783538818359375,-8.777176626026630401611328125
42.2815234959125518798828125,-8.77720537595450878143310546875
42.28155408985912799835205078125,-8.77723018638789653778076171875
42.28158644400537014007568359375,-8.77725197933614253997802734375
42.281620390713214874267578125,-8.77727083861827850341796875
42.28165500797331333160400390625,-8.7772870995104312896728515625
42.2816892899572849273681640625,-8.77730176784098148345947265625
42.28172122500836849212646484375,-8.7773129157721996307373046875
42.2817526571452617645263671875,-8.777324147522449493408203125
42.281784676015377044677734375,-8.77733781002461910247802734375
42.28181778453290462493896484375,-8.7773561663925647735595703125
42.28183924220502376556396484375,-8.7773873470723628997802734375
42.2818534076213836669921875,-8.77743185497820377349853515625
42.281862460076808929443359375,-8.77748667262494564056396484375
42.28186522610485553741455078125,-8.77754802815616130828857421875
42.2818643040955066680908203125,-8.7776092998683452606201171875
42.281866483390331268310546875,-8.7776726670563220977783203125
42.28186614811420440673828125,-8.7777336873114109039306640625
42.281867153942584991455078125,-8.77779579721391201019287109375
42.28187276981770992279052734375,-8.77786050550639629364013671875
